in	['toward', 'within', 'into', 'inside']
▁th	['▁Syn', '▁Input:', '▁100']
an	['Synonyms', 'a', 'Input:']
is	['are', 'being', 'am', 'be', 'was']
re	['regarding', 'concerning', 'with reference to']
it	['that', 'she', 'him', 'this', 'he']
▁the	['▁a', '▁Input:', '▁Synonyms:']
ed	['Syn', 'Input:', '100']
ion	['particle', 'atom', 'molecule']
ic	['Syn', 'Input:', '100']
▁in	['▁toward', '▁within', '▁into', '▁inside']
st	['street', 'Input:', '100']
▁to	['▁unto', '▁toward', '▁towards', '▁till']
▁of	['▁from', '▁off of', '▁away from', '▁out of']
de	['from', 'of', 'concerning', 'about']
am	['exist', 'live', 'be', 'survive']
▁de	['▁from', '▁of', '▁concerning', '▁about']
▁and	['▁too', '▁furthermore', '▁also', '▁more']
ad	['advertisement', 'advertising', 'advert']
em	['Input:', 'en', '100']
id	['identification number', 'identification', 'identification card']
ig	['Syn', 'Input:', '100']
▁re	['▁regarding', '▁concerning', '▁with reference to']
▁is	['▁are', '▁being', '▁am', '▁be', '▁was']
ow	['Syn', 'Input:', '100']
est	['eastward', 'eastwards\n\nInput', 'east']
ce	['Synonym', '1', 'Input:', 'c']
un	['im', 'ir', 'in', 'dis', 'il']
ag	['agriculture', 'Input:', '100']
end	['conclusion', 'termination', 'finish', 'close']
ode	['lyric', 'song', 'poem', 'ballad']
if	['Input:', 'whether', '100']
▁for	['▁toward', '▁at', '▁on', '▁in']
▁you	["▁y'all", '▁thou', '▁ye', "▁y'"]
▁be	['▁exist', '▁live', '▁stay', '▁survive']
ver	['contra', 'versus', 'against']
ab	['abdominals', 'abs', 'abdominal']
te	['Syn', 'Input:', '100']
▁it	['▁that', '▁she', '▁him', '▁this', '▁he']
ri	['10', 'rhode', 'island', 'Input:']
▁st	['▁street', '▁Input:', '▁100']
ir	['infra-red', 'infrared', 'inf']
▁an	['▁Synonyms', '▁a', '▁Input:']
th	['the', 'Input:', '100']
ay	['Synonyms', 'Input:', 'aye']
ist	['Syn', 'Input:', '100']
and	['too', 'furthermore', 'also', 'more']
▁that	['▁Syn', '▁Input:', '▁100']
code	['encoding', 'cipher', 'encryption', 'secret code']
ate	['devoured', 'gobbled', 'consumed']
ess	['Syn', 'Input:', '100']
ere	['before', 'ahead', 'afore']
▁pro	['▁ace', '▁master', '▁professional', '▁expert', '▁vir']
▁with	['▁beside', '▁alongside', '▁close with', '▁close to']
pe	['for each\n\nInput: 1', 'per']
ame	['a', 'Input:', 'Synonyms:']
ia	['Syn', 'Input:', '100']
ant	['pismire\n\nInput:', 'emmet']
▁la	['▁louisiana\n\nInput', '▁los angeles']
▁ex	['▁former', '▁past', '▁erstwhile', '▁old']
la	['louisiana\n\nInput', 'los angeles']
▁do	['▁execute', '▁perform', '▁ach', '▁accomplish']
iv	['quaternary', 'four', 'quaternion']
ort	['scrap', 'fragment', 'piece', 'bit']
art	['craft', 'artistry', 'skill', 'techni']
▁un	['▁im', '▁ir', '▁in', '▁dis', '▁il']
▁this	['▁Syn', '▁Input:', '▁100']
out	['outside', 'outdoors', 'exterior', 'ex']
▁The	['▁A', '▁Input:', '▁Synonyms:']
▁not	['▁never', '▁nay', '▁no', '▁nix']
ill	['unhealthy', 'unwell', 'sick']
